bopomofo,pinyin,hu_yin,she2_yin,hu_yin_label,she2_yin_label,class_label
ㄓ,zhi,純聲符,翹舌音,0,5,0
ㄔ,chi,純聲符,翹舌音,0,5,0
ㄕ,shi,純聲符,翹舌音,0,5,0
ㄖ,ri,純聲符,翹舌音,0,5,0
ㄗ,zi,純聲符,平舌音,0,6,1
ㄘ,ci,純聲符,平舌音,0,6,1
ㄙ,si,純聲符,平舌音,0,6,1
ㄚ,a,開口呼,純韻符,1,0,2
ㄅㄚ,ba,開口呼,口唇音,1,1,3
ㄆㄚ,pa,開口呼,口唇音,1,1,3
ㄇㄚ,ma,開口呼,口唇音,1,1,3
ㄈㄚ,fa,開口呼,口唇音,1,1,3
ㄉㄚ,da,開口呼,舌尖音,1,2,4
ㄊㄚ,ta,開口呼,舌尖音,1,2,4
ㄋㄚ,na,開口呼,舌尖音,1,2,4
ㄌㄚ,la,開口呼,舌尖音,1,2,4
ㄍㄚ,ga,開口呼,舌根音,1,3,5
ㄎㄚ,ka,開口呼,舌根音,1,3,5
ㄏㄚ,ha,開口呼,舌根音,1,3,5
ㄓㄚ,zha,開口呼,翹舌音,1,5,6
ㄔㄚ,cha,開口呼,翹舌音,1,5,6
ㄕㄚ,sha,開口呼,翹舌音,1,5,6
ㄗㄚ,za,開口呼,平舌音,1,6,7
ㄘㄚ,ca,開口呼,平舌音,1,6,7
ㄙㄚ,sa,開口呼,平舌音,1,6,7
ㄛ,o,開口呼,純韻符,1,0,2
ㄅㄛ,bo,開口呼,口唇音,1,1,3
ㄆㄛ,po,開口呼,口唇音,1,1,3
ㄇㄛ,mo,開口呼,口唇音,1,1,3
ㄈㄛ,fo,開口呼,口唇音,1,1,3
ㄜ,e,開口呼,純韻符,1,0,2
ㄇㄜ,me,開口呼,口唇音,1,1,3
ㄉㄜ,de,開口呼,舌尖音,1,2,4
ㄊㄜ,te,開口呼,舌尖音,1,2,4
ㄋㄜ,ne,開口呼,舌尖音,1,2,4
ㄌㄜ,le,開口呼,舌尖音,1,2,4
ㄍㄜ,ge,開口呼,舌根音,1,3,5
ㄎㄜ,ke,開口呼,舌根音,1,3,5
ㄏㄜ,he,開口呼,舌根音,1,3,5
ㄓㄜ,zhe,開口呼,翹舌音,1,5,6
ㄔㄜ,che,開口呼,翹舌音,1,5,6
ㄕㄜ,she,開口呼,翹舌音,1,5,6
ㄖㄜ,re,開口呼,翹舌音,1,5,6
ㄗㄜ,ze,開口呼,平舌音,1,6,7
ㄘㄜ,ce,開口呼,平舌音,1,6,7
ㄙㄜ,se,開口呼,平舌音,1,6,7
ㄝ,ê,開口呼,純韻符,1,0,2
ㄞ,ai,開口呼,純韻符,1,0,2
ㄅㄞ,bai,開口呼,口唇音,1,1,3
ㄆㄞ,pai,開口呼,口唇音,1,1,3
ㄇㄞ,mai,開口呼,口唇音,1,1,3
ㄉㄞ,dai,開口呼,舌尖音,1,2,4
ㄊㄞ,tai,開口呼,舌尖音,1,2,4
ㄋㄞ,nai,開口呼,舌尖音,1,2,4
ㄌㄞ,lai,開口呼,舌尖音,1,2,4
ㄍㄞ,gai,開口呼,舌根音,1,3,5
ㄎㄞ,kai,開口呼,舌根音,1,3,5
ㄏㄞ,hai,開口呼,舌根音,1,3,5
ㄓㄞ,zhai,開口呼,翹舌音,1,5,6
ㄔㄞ,chai,開口呼,翹舌音,1,5,6
ㄕㄞ,shai,開口呼,翹舌音,1,5,6
ㄗㄞ,zai,開口呼,平舌音,1,6,7
ㄘㄞ,cai,開口呼,平舌音,1,6,7
ㄙㄞ,sai,開口呼,平舌音,1,6,7
ㄟ,ei,開口呼,純韻符,1,0,2
ㄅㄟ,bei,開口呼,口唇音,1,1,3
ㄆㄟ,pei,開口呼,口唇音,1,1,3
ㄇㄟ,mei,開口呼,口唇音,1,1,3
ㄈㄟ,fei,開口呼,口唇音,1,1,3
ㄉㄟ,dei,開口呼,舌尖音,1,2,4
ㄋㄟ,nei,開口呼,舌尖音,1,2,4
ㄌㄟ,lei,開口呼,舌尖音,1,2,4
ㄍㄟ,gei,開口呼,舌根音,1,3,5
ㄏㄟ,hei,開口呼,舌根音,1,3,5
ㄓㄟ,zhei,開口呼,翹舌音,1,5,6
ㄕㄟ,shei,開口呼,翹舌音,1,5,6
ㄗㄟ,zei,開口呼,平舌音,1,6,7
ㄠ,ao,開口呼,純韻符,1,0,2
ㄅㄠ,bao,開口呼,口唇音,1,1,3
ㄆㄠ,pao,開口呼,口唇音,1,1,3
ㄇㄠ,mao,開口呼,口唇音,1,1,3
ㄉㄠ,dao,開口呼,舌尖音,1,2,4
ㄊㄠ,tao,開口呼,舌尖音,1,2,4
ㄋㄠ,nao,開口呼,舌尖音,1,2,4
ㄌㄠ,lao,開口呼,舌尖音,1,2,4
ㄍㄠ,gao,開口呼,舌根音,1,3,5
ㄎㄠ,kao,開口呼,舌根音,1,3,5
ㄏㄠ,hao,開口呼,舌根音,1,3,5
ㄓㄠ,zhao,開口呼,翹舌音,1,5,6
ㄔㄠ,chao,開口呼,翹舌音,1,5,6
ㄕㄠ,shao,開口呼,翹舌音,1,5,6
ㄖㄠ,rao,開口呼,翹舌音,1,5,6
ㄗㄠ,zao,開口呼,平舌音,1,6,7
ㄘㄠ,cao,開口呼,平舌音,1,6,7
ㄙㄠ,sao,開口呼,平舌音,1,6,7
ㄡ,ou,開口呼,純韻符,1,0,2
ㄆㄡ,pou,開口呼,口唇音,1,1,3
ㄇㄡ,mou,開口呼,口唇音,1,1,3
ㄈㄡ,fou,開口呼,口唇音,1,1,3
ㄉㄡ,dou,開口呼,舌尖音,1,2,4
ㄊㄡ,tou,開口呼,舌尖音,1,2,4
ㄋㄡ,nou,開口呼,舌尖音,1,2,4
ㄌㄡ,lou,開口呼,舌尖音,1,2,4
ㄍㄡ,gou,開口呼,舌根音,1,3,5
ㄎㄡ,kou,開口呼,舌根音,1,3,5
ㄏㄡ,hou,開口呼,舌根音,1,3,5
ㄓㄡ,zhou,開口呼,翹舌音,1,5,6
ㄔㄡ,chou,開口呼,翹舌音,1,5,6
ㄕㄡ,shou,開口呼,翹舌音,1,5,6
ㄖㄡ,rou,開口呼,翹舌音,1,5,6
ㄗㄡ,zou,開口呼,平舌音,1,6,7
ㄘㄡ,cou,開口呼,平舌音,1,6,7
ㄙㄡ,sou,開口呼,平舌音,1,6,7
ㄢ,an,開口呼,純韻符,1,0,2
ㄅㄢ,ban,開口呼,口唇音,1,1,3
ㄆㄢ,pan,開口呼,口唇音,1,1,3
ㄇㄢ,man,開口呼,口唇音,1,1,3
ㄈㄢ,fan,開口呼,口唇音,1,1,3
ㄉㄢ,dan,開口呼,舌尖音,1,2,4
ㄊㄢ,tan,開口呼,舌尖音,1,2,4
ㄋㄢ,nan,開口呼,舌尖音,1,2,4
